ID,Name,Mg,Al,Zn,Y,Zr,Ca,Mn,Li,Sn,Nd,Gd,La,Si,Sm,Ce,Er,Cu,Dy,Sr,Sc,Co,Yb,Te,Bi,Sb,Ho,Be,Rm,¦ÄRm,W,W,I2,¦ÄI2,Rc,¦ÄRc,ab XP,¦Äab XP,AW,¦ÄAW,AN,¦ÄAN,Tb,¦ÄTb,Eea,¦ÄEea,I1,¦ÄI1,XP,¦ÄXP,Hf,¦ÄHf,Cm,¦ÄCm,fp,fd,VEC,¦ÄVEC,K,¦ÄK,Tm,¦ÄTm,Vm,Sf,density,Hmix,1/¦¸,XRD,µÚ¶þÏà,¾§Á£³ß´ç£¨¦Ìm£©,ÔþÖÆÖÖÀà,ÔþÖÆÎÂ¶È¡æ,ÔþÖÆ´ÎÊý,ÔþÖÆ×ÜÑ¹ÏÂÁ¿ %,¼·Ñ¹ÎÂ¶È¡æ,¼·Ñ¹±È,¼·Ñ¹ËÙ¶È,À­ÉìËÙÂÊ,Ó¦±äËÙÂÊ,¾ùÔÈ»¯ÎÂ¶È¡æ,¾ùÔÈ»¯Ê±¼äh,ÍË»ðÎÂ¶È¡æ,ÍË»ðÊ±¼äh,¹ÌÈÜÎÂ¶È¡æ,¹ÌÈÜÊ±¼äh,Ê±Ð§ÎÂ¶È¡æ,Ê±Ð§Ê±¼äh,´ã»ð¡æ,ÊÇ·ñË®´ã,Ó²¶È ¼Ó¹¤·½Ê½,Ó²¶È,YS¼Ó¹¤·½Ê½,YS²âÊÔÎÂ¶È,Çü·þÇ¿¶È£¨YS£©MPa,UST¼Ó¹¤·½Ê½,UST²âÊÔÎÂ¶È,¿¹À­Ç¿¶È£¨UTS£©MPa,Éì³¤ÂÊ¼Ó¹¤·½Ê½,Éì³¤ÂÊ²âÊÔÎÂ¶È,Éì³¤ÂÊ(Elong)%
11,Mg-9Li-3Al-1.5RE,86.3,3.06,0,0,0,0,0,9.15,0,0,0,0.75,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.157604732,0.027933409,3.522981585,0.075775866,31.11524095,0.857329601,0.137251152,0.05077351,3.541299535,0.092898506,20.02705685,0.473361596,9.743615845,0.46747224,1466.96411,0.172296892,-0.110176641,4.133833056,7.008385589,0.14326386,1.229250812,0.126979938,7.234278555,0.353474766,24.85604236,0.005687588,0.012899124,0.001214781,1.760806363,0.273360768,162.916585,0.293819322,799.870917,0.259546959,0.016433243,0.009044308,1468019.834,-0.19008816,4.11E-05,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,153.287,ÖýÌ¬,ÊÒÎÂ,6.4397
12,Mg-9Li-3Al-2.0RE,85.93,2.98,0,0,0,0,0,9.12,0,0,0,0.99,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.157629735,0.028240569,3.522240565,0.075781055,31.11914851,0.857465726,0.137304617,0.052365077,3.540968419,0.092970262,20.10383806,0.497047197,9.77366101,0.483615232,1467.898171,0.175591269,-0.109821473,4.148830439,7.00744663,0.143366702,1.228910822,0.126866007,7.230450269,0.353584742,24.85789083,0.006109193,0.012609712,0.001612222,1.760853983,0.273563868,162.7540581,0.295003083,799.9438227,0.259771397,0.016441978,0.009038698,1472855.331,-0.17309188,3.73E-05,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,141.871,ÖýÌ¬,ÊÒÎÂ,5.065
13,Mg-9Li-3Al-0.5RE,87.57,3.04,0,0,0,0,0,8.92,0,0,0,0.23,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.157630286,0.02693623,3.527722221,0.074809674,30.68372892,0.861530183,0.137254197,0.046754093,3.547759454,0.091840684,19.98280205,0.412254018,9.741593033,0.42474339,1461.459283,0.162240538,-0.119012521,3.791919073,7.028024583,0.141516573,1.231862824,0.125544291,7.279121646,0.3481269,24.85307654,0.004582995,0.012746381,0.000381093,1.766348219,0.268802556,163.925179,0.287343917,802.9454551,0.255811085,0.016438414,0.009065524,1465135.545,-0.211420111,4.68E-05,"¨»-Mg,¦Â-Li,Al4RE£¬Mg17Al12",,,,,,,250,32,,0.5,,250,12,,,,,,,,,,,,,,¼·Ñ¹,ÊÒÎÂ,234.7,¼·Ñ¹,ÊÒÎÂ,10.3416
14,Mg-9Li-3Al-1.0RE,87.4,2.93,0,0,0,0,0,8.76,0,0,0,0.47,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.157682859,0.02713098,3.528722837,0.074443045,30.49455209,0.863602247,0.137348539,0.048164871,3.549915621,0.091495416,20.10724298,0.434909927,9.79726577,0.438323163,1461.209061,0.165027519,-0.122093694,3.68371646,7.034667748,0.140927114,1.232532596,0.124787626,7.2932702,0.3459274,24.85494043,0.005044482,0.012340741,0.000741374,1.769343515,0.267341891,164.0997937,0.286678127,804.5001119,0.254509565,0.016455445,0.009065593,1473091.18,-0.196865782,4.36E-05,"¨»-Mg,¦Â-Li,Al4RE£¬Mg17Al12",,,,,,,250,32,,0.5,,250,12,,,,,,,,,,,,,,¼·Ñ¹,ÊÒÎÂ,221.988,¼·Ñ¹,ÊÒÎÂ,14.3715
15,Mg-9Li-3Al-1.5RE,86.3,3.06,0,0,0,0,0,9.15,0,0,0,0.75,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.157604732,0.027933409,3.522981585,0.075775866,31.11524095,0.857329601,0.137251152,0.05077351,3.541299535,0.092898506,20.02705685,0.473361596,9.743615845,0.46747224,1466.96411,0.172296892,-0.110176641,4.133833056,7.008385589,0.14326386,1.229250812,0.126979938,7.234278555,0.353474766,24.85604236,0.005687588,0.012899124,0.001214781,1.760806363,0.273360768,162.916585,0.293819322,799.870917,0.259546959,0.016433243,0.009044308,1468019.834,-0.19008816,4.11E-05,"¨»-Mg,¦Â-Li,Al4RE£¬Mg17Al12",,,,,,,250,32,,0.5,,250,12,,,,,,,,,,,,,,¼·Ñ¹,ÊÒÎÂ,228.3,¼·Ñ¹,ÊÒÎÂ,20.8
16,Mg-9Li-3Al-2.0RE,85.93,2.98,0,0,0,0,0,9.12,0,0,0,0.99,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.157629735,0.028240569,3.522240565,0.075781055,31.11914851,0.857465726,0.137304617,0.052365077,3.540968419,0.092970262,20.10383806,0.497047197,9.77366101,0.483615232,1467.898171,0.175591269,-0.109821473,4.148830439,7.00744663,0.143366702,1.228910822,0.126866007,7.230450269,0.353584742,24.85789083,0.006109193,0.012609712,0.001612222,1.760853983,0.273563868,162.7540581,0.295003083,799.9438227,0.259771397,0.016441978,0.009038698,1472855.331,-0.17309188,3.73E-05,"¨»-Mg,¦Â-Li,Al4RE£¬Mg17Al12",,,,,,,250,32,,0.5,,250,12,,,,,,,,,,,,,,¼·Ñ¹,ÊÒÎÂ,219.61,¼·Ñ¹,ÊÒÎÂ,13.2322
17,Mg-6Al-0.2Er,93.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.159184075,0.024157093,3.688626477,0.032843579,15.24119227,0.056603373,0.139924751,0.032987062,3.721546232,0.031767671,24.49264577,0.102804422,12.07086601,0.081502803,1441.351692,0.225890491,-0.353979675,0.540168518,7.555080822,0.049999916,1.326319101,0.051341747,8.812210814,0.055825114,24.83351481,0.006519551,0.026506934,0.000142532,2.054758209,0.110722364,192.3996882,0.055373142,923.9695143,0.01646399,0.016921603,0.009537339,1778983.834,-0.419824551,0.000255239,,,,,,,,,,,1,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,159.7556,ÖýÌ¬,ÊÒÎÂ,6.1714
18,Mg-6Al-0.5Er,93.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.159188529,0.024282232,3.688339474,0.033238398,15.24035246,0.056859214,0.139943107,0.033832629,3.721274322,0.031896967,24.55609522,0.159443689,12.09571433,0.126668933,1442.337771,0.22735648,-0.35345525,0.544101055,7.554165161,0.050228706,1.326330546,0.051421441,8.817434449,0.061777263,24.83485476,0.007093239,0.026568072,0.000357152,2.055340505,0.1112437,192.3288274,0.058740997,924.3587856,0.02586293,0.016923335,0.009538974,1783410.202,-0.432637723,0.000258412,,,,,,,,,,,1,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,164.8888,ÖýÌ¬,ÊÒÎÂ,6.8596
19,Mg-6Al-1Er,93,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.159196004,0.024490705,3.687857815,0.033890527,15.23894308,0.057286014,0.139973912,0.03520403,3.720817995,0.032112496,24.66257801,0.22355561,12.13741553,0.177855447,1443.99264,0.229782067,-0.352575146,0.550677813,7.552628471,0.050609936,1.326349752,0.0515549,8.826200912,0.070610678,24.8371035,0.00796262,0.026670599,0.000717061,2.056317731,0.112110232,192.2099067,0.064001119,925.0120724,0.036527219,0.016926243,0.009541714,1790836.633,-0.454157657,0.000264177,,,,,,,,,,,1,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,181,ÖýÌ¬,ÊÒÎÂ,9.3
20,Mg-6Al-1.5Er,92.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.159203544,0.024699081,3.687371961,0.034535698,15.23752142,0.057713341,0.140004985,0.036532763,3.720357693,0.03232808,24.76998831,0.272544638,12.17947996,0.217061826,1445.661923,0.23218603,-0.351687375,0.557284065,7.551078396,0.050991085,1.326369126,0.05168916,8.835043733,0.078477954,24.83937183,0.008751297,0.02677392,0.001079758,2.057303469,0.112973882,192.0899501,0.068907522,925.6710496,0.044748941,0.016929176,0.009544475,1798325.173,-0.475885962,0.000270164,,,,,,,,,,,1,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,171.924,ÖýÌ¬,ÊÒÎÂ,7.2851
21,Mg-6Al-2Er,92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.159211151,0.024907383,3.686881857,0.03517436,15.23608733,0.058141232,0.14003633,0.037823406,3.719893365,0.032543734,24.87833828,0.313580449,12.2219124,0.249988438,1447.345809,0.234568961,-0.350791837,0.563921352,7.549514761,0.051372184,1.32638867,0.05182423,8.843963916,0.085645699,24.84166001,0.009479485,0.026878045,0.001445277,2.058297831,0.113834726,191.9689441,0.07353171,926.3357918,0.05170678,0.016932135,0.009547255,1805876.604,-0.497825649,0.00027623,,,,,,,,,,,1,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,169.9384,ÖýÌ¬,ÊÒÎÂ,6.7662
22,Mg-9Al-0.5Gd,90.5,9,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15872728,0.029477906,3.704668684,0.040673759,15.34485448,0.068133078,0.139400015,0.041002698,3.706928129,0.038640991,24.62899667,0.153672147,12.12287485,0.121921516,1482.087916,0.26754412,-0.330271161,0.702085949,7.508372618,0.060955006,1.334559704,0.061789982,8.865323698,0.062050016,24.82356323,0.015629005,0.039440879,0.000375967,2.08293594,0.132402233,193.5566993,0.069083921,924.5162399,0.020238034,0.016790353,0.009589149,1802932.999,-0.629987526,0.00028232,,,233,,,,,,,,,,,,,,,,,,,,ÖýÌ¬,"79(VHN, 0.25 N,10 s)",ÖýÌ¬,#N/A,113.926,ÖýÌ¬,#N/A,202.862,ÖýÌ¬,#N/A,5.69707
23,Mg-9Al-1Gd,90,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158737104,0.02977332,3.705993385,0.042082146,15.34389723,0.068521547,0.139436388,0.042619535,3.706388918,0.038842732,24.73494972,0.214719244,12.16430067,0.170644431,1484.299035,0.270417725,-0.329247624,0.709320239,7.506603969,0.061296355,1.334578846,0.061972483,8.867057345,0.062260162,24.83293221,0.020856601,0.039588823,0.000754755,2.084079212,0.133155483,193.4312193,0.074146739,925.0427704,0.028489817,0.016794375,0.009585565,1810256.668,-0.659376289,0.00028922,,,217,,,,,,,,,,,,,,,,,,,,ÖýÌ¬,"85 (VHN, 0.25 N,10 s)",ÖýÌ¬,#N/A,122.178,ÖýÌ¬,#N/A,215.39,ÖýÌ¬,#N/A,5.90335
24,Mg-9Al-1.5Gd,89.5,9,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158747013,0.030068144,3.707329533,0.043451567,15.3429317,0.068911195,0.139473076,0.04418728,3.705845046,0.03904473,24.84181833,0.261461962,12.20608445,0.20803362,1486.529261,0.273259732,-0.328215243,0.716612701,7.504820036,0.061638146,1.334598153,0.062156004,8.868805973,0.06247062,24.84238214,0.02503594,0.039737881,0.001136396,2.085232363,0.133906977,193.304655,0.078931653,925.5738507,0.034866221,0.016798431,0.009581954,1817640.08,-0.689056773,0.000296313,,,196,,,,,,,,,,,,,,,,,,,,ÖýÌ¬,"88(VHN, 0.25 N,10 s)",ÖýÌ¬,#N/A,128,ÖýÌ¬,#N/A,227,ÖýÌ¬,#N/A,6.6
25,Mg-9Al-2Gd,89,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158757008,0.030362423,3.708677277,0.044785628,15.34195779,0.069302045,0.139510083,0.045711074,3.705296455,0.039246989,24.94961441,0.300647867,12.24823086,0.239457042,1488.778842,0.276070958,-0.327173902,0.723965069,7.503020622,0.061980394,1.334617628,0.062340556,8.870569776,0.062681391,24.85191409,0.028629963,0.039888065,0.001520921,2.086395523,0.134656737,193.1769923,0.083487128,926.1095401,0.040268322,0.016802523,0.009578316,1825083.967,-0.719033269,0.000303476,,,181,,,,,,,,,,,,,,,,,,,,ÖýÌ¬,"79(VHN, 0.25 N,10 s)",ÖýÌ¬,#N/A,111.963,ÖýÌ¬,#N/A,214.154,ÖýÌ¬,#N/A,6.00162
26,Mg-14Li-1Al-0.3La,86.115,0.69,0,0,0,0,0,13.19,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157183185,0.02582626,3.467850952,0.078099345,36.10379256,0.798952114,0.136415897,0.047065842,3.490267882,0.100965733,18.3291639,0.469582803,8.895516747,0.493563122,1458.12217,0.107797406,-0.042108017,11.52492297,6.854128222,0.156719396,1.196690053,0.133249353,6.728386491,0.404843388,24.86360186,0.002545976,0.002819596,0.000230181,1.657685817,0.292589813,153.6689686,0.327400503,760.2250542,0.294254502,0.016296298,0.008850519,1346110.669,-0.054200468,1.27E-05,"¦Â-Li,LiMgAl2,Al2La",,70,,,,,250,89,,3,,250,24,220,0.5,,,,,,,,,,,,¼·Ñ¹,ÊÒÎÂ,146,¼·Ñ¹,ÊÒÎÂ,6
27,Mg-11Li-3Al-0.4Si-0.5Nd,85.25,3.02,0,0,0,0,0,10.86,0,0.48,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157152303,0.030552702,3.505750451,0.080970435,33.3503648,0.831963367,0.136616944,0.049072213,3.518428564,0.098485979,19.22525002,0.44838228,9.34996491,0.464374573,1475.680916,0.168298963,-0.070310552,6.780902388,6.931844211,0.150109267,1.218643165,0.135583828,7.137991121,0.485712562,24.83998571,0.011525975,0.015554896,0.000370529,1.726652992,0.294722944,159.1621714,0.309896382,784.4164481,0.28135148,0.016298669,0.009099747,1414446.689,-0.515191779,0.000108185,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,144,ÖýÌ¬,ÊÒÎÂ,46.2
28,Mg-11Li-3Al-0.4Si-1Nd,84.48,3.05,0,0,0,0,0,11.06,0,1.05,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157116073,0.03043432,3.502125672,0.081350679,33.67938395,0.82808413,0.136593349,0.050876898,3.513489755,0.099015888,19.22106269,0.484820493,9.336951532,0.490511379,1478.512759,0.171376145,-0.064231611,7.451357826,6.917439129,0.151183491,1.216648974,0.136294745,7.097449306,0.482305658,24.84280265,0.011524318,0.015481548,0.00081267,1.721735965,0.297218516,158.4736954,0.313805796,781.9756486,0.283701175,0.016287115,0.009076305,1414240.676,-0.504500138,0.000104996,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,188,ÖýÌ¬,ÊÒÎÂ,15.4
29,Mg-11Li-3Al-0.4Si-1.5Nd,84,3.1,0,0,0,0,0,11.07,0,1.45,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15709624,0.030680038,3.501628936,0.081691,33.74206435,0.82734578,0.13659953,0.052154526,3.51224673,0.099273567,19.2690989,0.506840663,9.354078215,0.505865676,1480.704113,0.17512436,-0.062073329,7.72438666,6.913335049,0.151473579,1.216421293,0.136749702,7.097415483,0.488112367,24.84317791,0.012038954,0.015885251,0.001124938,1.721928771,0.298698239,158.2838882,0.315238405,781.8008591,0.284741627,0.016281636,0.009078291,1417715.762,-0.530224773,0.000109451,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,187,ÖýÌ¬,ÊÒÎÂ,43.8
